,S No.,Movie Name,Duration,Year,Rating,Metascore,Director1,Director2,Director3
692,693,Tron,96,1982,6.7,58,Steven Lisberger ,nan,nan
693,694,Pandorum,108,2009,6.7,28,Christian Alvart ,nan,nan
694,695,Zombieland: Double Tap,99,2019,6.7,55,Ruben Fleischer ,nan,nan
695,696,Wyatt Earp,191,1994,6.7,47,Lawrence Kasdan ,nan,nan
696,697,Demolition Man,115,1993,6.7,34,Marco Brambilla ,nan,nan
697,698,Blade II,117,2002,6.7,52,Guillermo del Toro ,nan,nan
698,699,No Escape,103,2015,6.7,38,John Erick Dowdle ,nan,nan
699,700,On Her Majesty's Secret Service,142,1969,6.7,61,Peter R. Hunt ,nan,nan
700,701,Escape Plan,115,2013,6.7,49,Mikael Håfström ,nan,nan
701,702,The Matrix Revolutions,129,2003,6.7,47,Lana Wachowski, Lilly Wachowski ,nan
702,703,Super,96,2010,6.7,50,James Gunn ,nan,nan
703,704,Kisi Ka Bhai Kisi Ki Jaan,145,2023,6.7,Nan,Farhad Samji ,nan,nan
704,705,Live and Let Die,121,1973,6.7,55,Guy Hamilton ,nan,nan
705,706,Angels & Demons,138,2009,6.7,48,Ron Howard ,nan,nan
706,707,Hot Shots!,84,1991,6.7,61,Jim Abrahams ,nan,nan
707,708,Jungle,115,2017,6.7,48,Greg McLean ,nan,nan
708,709,Backdraft,137,1991,6.7,38,Ron Howard ,nan,nan
709,710,The Finest Hours,117,2016,6.7,58,Craig Gillespie ,nan,nan
710,711,Out of the Furnace,116,2013,6.7,63,Scott Cooper ,nan,nan
711,712,The Living Daylights,130,1987,6.7,59,John Glen ,nan,nan
712,713,The Grey,117,2011,6.7,64,Joe Carnahan ,nan,nan
713,714,Gangster Squad,113,2013,6.7,40,Ruben Fleischer ,nan,nan
714,715,Colors,120,1988,6.7,66,Dennis Hopper ,nan,nan
715,716,Absolute Power,121,1997,6.7,52,Clint Eastwood ,nan,nan
716,717,Harriet,125,2019,6.7,66,Kasi Lemmons ,nan,nan
717,718,The Man with the Golden Gun,125,1974,6.7,43,Guy Hamilton ,nan,nan
718,719,Underworld: Evolution,106,2006,6.7,36,Len Wiseman ,nan,nan
719,720,For Your Eyes Only,127,1981,6.7,54,John Glen ,nan,nan
720,721,Rumble in the Bronx,87,1995,6.7,61,Stanley Tong ,nan,nan
721,722,Hamburger Hill,110,1987,6.7,64,John Irvin ,nan,nan
722,723,Appaloosa,115,2008,6.7,64,Ed Harris ,nan,nan
723,724,Pete's Dragon,102,2016,6.7,71,David Lowery ,nan,nan
724,725,Hardcore Henry,96,2015,6.7,51,Ilya Naishuller ,nan,nan
725,726,The Salvation,92,2014,6.7,64,Kristian Levring ,nan,nan
726,727,Conspiracy Theory,135,1997,6.7,49,Richard Donner ,nan,nan
727,728,Lethal Weapon 3,118,1992,6.7,40,Richard Donner ,nan,nan
728,729,Tales from the Crypt: Demon Knight,92,1995,6.7,48,Ernest R. Dickerson ,nan,nan
729,730,Death Sentence,105,2007,6.7,36,James Wan ,nan,nan
730,731,Brooklyn's Finest,132,2009,6.7,43,Antoine Fuqua ,nan,nan
731,732,Ransom,121,1996,6.7,60,Ron Howard ,nan,nan
732,733,The Enforcer,96,1976,6.7,58,James Fargo ,nan,nan
733,734,Machine Gun Preacher,129,2011,6.7,43,Marc Forster ,nan,nan
734,735,Hidalgo,136,2004,6.7,54,Joe Johnston ,nan,nan
735,736,Nothing to Lose,98,1997,6.7,Nan,Steve Oedekerk ,nan,nan
736,737,Blood and Bone,93,2009,6.7,Nan,Ben Ramsey ,nan,nan
737,738,The Brothers Bloom,114,2008,6.7,55,Rian Johnson ,nan,nan
738,739,The Brave One,122,2007,6.7,56,Neil Jordan ,nan,nan
739,740,Stakeout,117,1987,6.7,69,John Badham ,nan,nan
740,741,Wild Target,98,2010,6.7,41,Jonathan Lynn ,nan,nan
741,742,Turbo Kid,93,2015,6.7,60,François Simard, Anouk Whissell, Yoann-Karl Whissell 
742,743,Om Shanti Om,162,2007,6.7,Nan,Farah Khan ,nan,nan
743,744,Antim: The Final Truth,138,2021,6.7,Nan,Mahesh Manjrekar ,nan,nan
744,745,The Fate of the Furious,136,2017,6.6,56,F. Gary Gray ,nan,nan
745,746,Venom,112,2018,6.6,35,Ruben Fleischer ,nan,nan
746,747,Red Sparrow,140,2018,6.6,53,Francis Lawrence ,nan,nan
747,748,Star Wars: Episode II - Attack of the Clones,142,2002,6.6,54,George Lucas ,nan,nan
748,749,Resident Evil,100,2002,6.6,33,Paul W.S. Anderson ,nan,nan
749,750,Divergent,139,2014,6.6,48,Neil Burger ,nan,nan
750,751,Kong: Skull Island,118,2017,6.6,62,Jordan Vogt-Roberts ,nan,nan
751,752,Pirates of the Caribbean: On Stranger Tides,136,2011,6.6,45,Rob Marshall ,nan,nan
752,753,The Other Guys,107,2010,6.6,64,Adam McKay ,nan,nan
753,754,John Carter,132,2012,6.6,51,Andrew Stanton ,nan,nan
754,755,The Amazing Spider-Man 2,142,2014,6.6,53,Marc Webb ,nan,nan
755,756,X-Men: The Last Stand,104,2006,6.6,58,Brett Ratner ,nan,nan
756,757,Anna,118,2019,6.6,40,Luc Besson ,nan,nan
757,758,Enola Holmes,123,2020,6.6,68,Harry Bradbeer ,nan,nan
758,759,The Old Guard,125,2020,6.6,70,Gina Prince-Bythewood ,nan,nan
759,760,The Incredible Hulk,112,2008,6.6,61,Louis Leterrier ,nan,nan
760,761,Jungle Cruise,127,2021,6.6,50,Jaume Collet-Serra ,nan,nan
761,762,Robin Hood,140,2010,6.6,53,Ridley Scott ,nan,nan
762,763,The Hunger Games: Mockingjay - Part 1,123,2014,6.6,64,Francis Lawrence ,nan,nan
763,764,Ender's Game,114,2013,6.6,51,Gavin Hood ,nan,nan
764,765,Jason Bourne,123,2016,6.6,58,Paul Greengrass ,nan,nan
765,766,Austin Powers: The Spy Who Shagged Me,95,1999,6.6,59,Jay Roach ,nan,nan
766,767,The Harder They Fall,139,2021,6.6,68,Jeymes Samuel ,nan,nan
767,768,Smokin' Aces,108,2006,6.6,45,Joe Carnahan ,nan,nan
768,769,Elysium,109,2013,6.6,61,Neill Blomkamp ,nan,nan
769,770,The Chronicles of Riddick,119,2004,6.6,38,David Twohy ,nan,nan
770,771,Quantum of Solace,106,2008,6.6,58,Marc Forster ,nan,nan
771,772,Prince of Persia: The Sands of Time,116,2010,6.6,50,Mike Newell ,nan,nan
772,773,The Expendables 2,103,2012,6.6,51,Simon West ,nan,nan
773,774,Adrift,96,2018,6.6,56,Baltasar Kormákur ,nan,nan
774,775,The Rundown,104,2003,6.6,59,Peter Berg ,nan,nan
775,776,The 13th Warrior,102,1999,6.6,42,John McTiernan, Michael Crichton ,nan
776,777,The Heat,117,2013,6.6,60,Paul Feig ,nan,nan
777,778,The Bourne Legacy,135,2012,6.6,61,Tony Gilroy ,nan,nan
778,779,Hunter Killer,121,2018,6.6,43,Donovan Marsh ,nan,nan
779,780,Crocodile Dundee,97,1986,6.6,62,Peter Faiman ,nan,nan
780,781,Licence to Kill,133,1989,6.6,58,John Glen ,nan,nan
781,782,Tears of the Sun,121,2003,6.6,48,Antoine Fuqua ,nan,nan
782,783,Rush Hour 2,90,2001,6.6,48,Brett Ratner ,nan,nan
783,784,The Lego Movie 2: The Second Part,107,2019,6.6,65,Mike Mitchell ,nan,nan
784,785,30 Days of Night,113,2007,6.6,53,David Slade ,nan,nan
785,786,Epic,102,2013,6.6,52,Chris Wedge ,nan,nan
786,787,Overlord,110,2018,6.6,60,Julius Avery ,nan,nan
787,788,The Informer,113,2019,6.6,61,Andrea Di Stefano ,nan,nan
788,789,Flushed Away,85,2006,6.6,74,David Bowers, Sam Fell ,nan
789,790,Machete,105,2010,6.6,60,Ethan Maniquis, Robert Rodriguez ,nan
790,791,Attack the Block,88,2011,6.6,75,Joe Cornish ,nan,nan
791,792,Joy Ride,97,2001,6.6,75,John Dahl ,nan,nan
792,793,Rollerball,125,1975,6.6,56,Norman Jewison ,nan,nan
793,794,Bad Boys II,147,2003,6.6,38,Michael Bay ,nan,nan
794,795,U-571,116,2000,6.6,62,Jonathan Mostow ,nan,nan
795,796,Run All Night,114,2015,6.6,59,Jaume Collet-Serra ,nan,nan
796,797,Ghostbusters II,108,1989,6.6,56,Ivan Reitman ,nan,nan
797,798,The Girl with All the Gifts,111,2016,6.6,67,Colm McCarthy ,nan,nan
798,799,Penguins of Madagascar,92,2014,6.6,53,Eric Darnell, Simon J. Smith ,nan
799,800,Hot Shots! Part Deux,86,1993,6.6,64,Jim Abrahams ,nan,nan
800,801,Outbreak,127,1995,6.6,64,Wolfgang Petersen ,nan,nan
801,802,The Aeronauts,100,2019,6.6,60,Tom Harper ,nan,nan
802,803,Courage Under Fire,116,1996,6.6,77,Edward Zwick ,nan,nan
803,804,Eagle Eye,118,2008,6.6,43,D.J. Caruso ,nan,nan
804,805,RED 2,116,2013,6.6,47,Dean Parisot ,nan,nan
805,806,Star Trek III: The Search for Spock,105,1984,6.6,56,Leonard Nimoy ,nan,nan
806,807,Star Trek: Generations,118,1994,6.6,55,David Carson ,nan,nan
807,808,Shanghai Noon,110,2000,6.6,77,Tom Dey ,nan,nan
808,809,Black Rain,125,1989,6.6,56,Ridley Scott ,nan,nan
809,810,Sudden Impact,117,1983,6.6,52,Clint Eastwood ,nan,nan
810,811,New Jack City,97,1991,6.6,61,Mario Van Peebles ,nan,nan
811,812,Titan A,94,2000,6.6,48,Don Bluth, Gary Goldman ,nan
812,813,The Final Countdown,103,1980,6.6,51,Don Taylor ,nan,nan
813,814,Alpha,96,2018,6.6,63,Albert Hughes ,nan,nan
814,815,21 Bridges,99,2019,6.6,51,Brian Kirk ,nan,nan
815,816,Kiss of the Dragon,98,2001,6.6,58,Chris Nahon ,nan,nan
816,817,The Wave,105,2015,6.6,68,Roar Uthaug ,nan,nan
817,818,The Recruit,115,2003,6.6,56,Roger Donaldson ,nan,nan
818,819,Man on a Ledge,102,2012,6.6,40,Asger Leth ,nan,nan
819,820,Lethal Weapon 4,127,1998,6.6,37,Richard Donner ,nan,nan
820,821,Outland,109,1981,6.6,48,Peter Hyams ,nan,nan
821,822,Shoot 'Em Up,86,2007,6.6,49,Michael Davis ,nan,nan
822,823,Edge of Darkness,117,2010,6.6,55,Martin Campbell ,nan,nan
823,824,Vantage Point,90,2008,6.6,40,Pete Travis ,nan,nan
824,825,16 Blocks,102,2006,6.6,63,Richard Donner ,nan,nan
825,826,The Way of the Gun,119,2000,6.6,49,Christopher McQuarrie ,nan,nan
826,827,The Art of Self-Defense,104,2019,6.6,65,Riley Stearns ,nan,nan
827,828,Seraphim Falls,115,2006,6.6,62,David Von Ancken ,nan,nan
828,829,22 Bullets,117,2010,6.6,Nan,Richard Berry ,nan,nan
829,830,Raees,143,2017,6.6,Nan,Rahul Dholakia ,nan,nan
830,831,Wasabi,94,2001,6.6,53,Gérard Krawczyk ,nan,nan
831,832,Wanted,147,2009,6.6,Nan,Prabhu Deva ,nan,nan
832,833,Fast & Furious,107,2009,6.5,46,Justin Lin ,nan,nan
833,834,Plane,107,2023,6.5,62,Jean-François Richet ,nan,nan
834,835,Fast & Furious Presents: Hobbs & Shaw,137,2019,6.5,60,David Leitch ,nan,nan
835,836,The Gray Man,122,2022,6.5,49,Anthony Russo, Joe Russo ,nan
836,837,Star Wars: Episode IX - The Rise of Skywalker,141,2019,6.5,53,J.J. Abrams ,nan,nan
837,838,Star Wars: Episode I - The Phantom Menace,136,1999,6.5,51,George Lucas ,nan,nan
838,839,Pirates of the Caribbean: Dead Men Tell No Tales,129,2017,6.5,39,Joachim Rønning, Espen Sandberg ,nan
839,840,The Tomorrow War,138,2021,6.5,45,Chris McKay ,nan,nan
840,841,Homefront,100,2013,6.5,40,Gary Fleder ,nan,nan
841,842,The Hunt,90,2020,6.5,50,Craig Zobel ,nan,nan
842,843,Tag,100,2018,6.5,56,Jeff Tomsic ,nan,nan
843,844,Sonic the Hedgehog 2,122,2022,6.5,47,Jeff Fowler ,nan,nan
844,845,Gone in 60 Seconds,118,2000,6.5,35,Dominic Sena ,nan,nan
845,846,Pokémon: Detective Pikachu,104,2019,6.5,53,Rob Letterman ,nan,nan
846,847,Sonic the Hedgehog,99,2020,6.5,47,Jeff Fowler ,nan,nan
847,848,War of the Worlds,116,2005,6.5,73,Steven Spielberg ,nan,nan
848,849,The Quick and the Dead,108,1995,6.5,49,Sam Raimi ,nan,nan
849,850,The Lost World: Jurassic Park,129,1997,6.5,59,Steven Spielberg ,nan,nan
850,851,The Hunger Games: Mockingjay - Part 2,137,2015,6.5,65,Francis Lawrence ,nan,nan
851,852,X-Men Origins: Wolverine,107,2009,6.5,40,Gavin Hood ,nan,nan
852,853,Mr,120,2005,6.5,55,Doug Liman ,nan,nan
853,854,Mandy,121,2018,6.5,82,Panos Cosmatos ,nan,nan
854,855,12 Strong,130,2018,6.5,54,Nicolai Fuglsig ,nan,nan
855,856,Under Siege,103,1992,6.5,58,Andrew Davis ,nan,nan
856,857,Cliffhanger,113,1993,6.5,60,Renny Harlin ,nan,nan
857,858,The Chronicles of Narnia: Prince Caspian,150,2008,6.5,62,Andrew Adamson ,nan,nan
858,859,Flash Gordon,111,1980,6.5,58,Mike Hodges ,nan,nan
859,860,Terminator Salvation,115,2009,6.5,49,McG ,nan,nan
860,861,Sin City: A Dame to Kill For,102,2014,6.5,46,Frank Miller, Robert Rodriguez ,nan
861,862,Olympus Has Fallen,119,2013,6.5,41,Antoine Fuqua ,nan,nan
862,863,Rambo: First Blood Part II,96,1985,6.5,47,George P. Cosmatos ,nan,nan
863,864,The Rocketeer,108,1991,6.5,61,Joe Johnston ,nan,nan
864,865,Tomorrow Never Dies,119,1997,6.5,52,Roger Spottiswoode ,nan,nan
865,866,Kick-Ass 2,103,2013,6.5,41,Jeff Wadlow ,nan,nan
866,867,The Perfect Storm,130,2000,6.5,59,Wolfgang Petersen ,nan,nan
867,868,The Mechanic,93,2011,6.5,49,Simon West ,nan,nan
868,869,Bad Boys for Life,124,2020,6.5,59,Adil El Arbi, Bilall Fallah ,nan
869,870,The Interview,112,2014,6.5,52,Evan Goldberg, Seth Rogen ,nan
870,871,Swordfish,99,2001,6.5,32,Dominic Sena ,nan,nan
871,872,The Man in the Iron Mask,132,1998,6.5,48,Randall Wallace ,nan,nan
872,873,The Spiderwick Chronicles,96,2008,6.5,62,Mark Waters ,nan,nan
873,874,Nerve,96,2016,6.5,58,Henry Joost, Ariel Schulman ,nan
874,875,Diamonds Are Forever,120,1971,6.5,59,Guy Hamilton ,nan,nan
875,876,Air Force One,124,1997,6.5,61,Wolfgang Petersen ,nan,nan
876,877,Never Back Down,113,2008,6.5,39,Jeff Wadlow ,nan,nan
877,878,Get Smart,110,2008,6.5,54,Peter Segal ,nan,nan
878,879,Octopussy,131,1983,6.5,63,John Glen ,nan,nan
879,880,Beverly Hills Cop II,100,1987,6.5,48,Tony Scott ,nan,nan
880,881,The Forbidden Kingdom,104,2008,6.5,57,Rob Minkoff ,nan,nan
881,882,U,131,1998,6.5,47,Stuart Baird ,nan,nan
882,883,Peppermint,101,2018,6.5,29,Pierre Morel ,nan,nan
883,884,Safe,94,2012,6.5,55,Boaz Yakin ,nan,nan
884,885,National Treasure: Book of Secrets,124,2007,6.5,48,Jon Turteltaub ,nan,nan
885,886,Young Guns II,104,1990,6.5,47,Geoff Murphy ,nan,nan
886,887,A Walk Among the Tombstones,114,2014,6.5,57,Scott Frank ,nan,nan
887,888,Space Cowboys,130,2000,6.5,73,Clint Eastwood ,nan,nan
888,889,Underworld: Rise of the Lycans,92,2009,6.5,44,Patrick Tatopoulos ,nan,nan
889,890,Executive Decision,133,1996,6.5,62,Stuart Baird ,nan,nan
890,891,Cellular,94,2004,6.5,60,David R. Ellis ,nan,nan
891,892,Self/less,117,2015,6.5,34,Tarsem Singh ,nan,nan
892,893,Batman: The Movie,105,1966,6.5,71,Leslie H. Martinson ,nan,nan
893,894,The International,118,2009,6.5,52,Tom Tykwer ,nan,nan
894,895,The Grandmaster,130,2013,6.5,73,Kar-Wai Wong ,nan,nan
895,896,Hostage,113,2005,6.5,44,Florent-Emilio Siri ,nan,nan
896,897,Space Sweepers,136,2021,6.5,64,Sung-hee Jo ,nan,nan
897,898,Premium Rush,91,2012,6.5,66,David Koepp ,nan,nan
898,899,Flyboys,140,2006,6.5,47,Tony Bill ,nan,nan
899,900,The Four Feathers,132,2002,6.5,49,Shekhar Kapur ,nan,nan
900,901,Heist,109,2001,6.5,66,David Mamet ,nan,nan
901,902,War,154,2019,6.5,Nan,Siddharth Anand ,nan,nan
902,903,Ladder 49,115,2004,6.5,47,Jay Russell ,nan,nan
903,904,Taxi 2,88,2000,6.5,Nan,Gérard Krawczyk ,nan,nan
904,905,Spartan,106,2004,6.5,60,David Mamet ,nan,nan
905,906,Dhoom 2,152,2006,6.5,Nan,Sanjay Gadhvi ,nan,nan
906,907,District 13: Ultimatum,101,2009,6.5,64,Patrick Alessandrin ,nan,nan
907,908,Conquest 1453,162,2012,6.5,Nan,Faruk Aksoy ,nan,nan
908,909,Valerian and the City of a Thousand Planets,136,2017,6.4,51,Luc Besson ,nan,nan
909,910,Greenland,119,2020,6.4,64,Ric Roman Waugh ,nan,nan
910,911,Escape Room,99,2019,6.4,48,Adam Robitel ,nan,nan
911,912,Lucy,89,2014,6.4,61,Luc Besson ,nan,nan
912,913,Twister,113,1996,6.4,68,Jan de Bont ,nan,nan
913,914,The Day After Tomorrow,124,2004,6.4,47,Roland Emmerich ,nan,nan
914,915,Batman v Superman: Dawn of Justice,151,2016,6.4,44,Zack Snyder ,nan,nan
915,916,Last Action Hero,130,1993,6.4,44,John McTiernan ,nan,nan
916,917,The Mummy Returns,130,2001,6.4,48,Stephen Sommers ,nan,nan
917,918,The Expendables,103,2010,6.4,45,Sylvester Stallone ,nan,nan
918,919,Triple Frontier,125,2019,6.4,61,J.C. Chandor ,nan,nan
919,920,Godzilla,123,2014,6.4,62,Gareth Edwards ,nan,nan
920,921,Riddick,119,2013,6.4,49,David Twohy ,nan,nan
921,922,The Punisher,124,2004,6.4,33,Jonathan Hensleigh ,nan,nan
922,923,Alien³,114,1992,6.4,59,David Fincher ,nan,nan
923,924,Tomorrowland,130,2015,6.4,60,Brad Bird ,nan,nan
924,925,Angel Has Fallen,121,2019,6.4,45,Ric Roman Waugh ,nan,nan
925,926,Army of Thieves,127,2021,6.4,49,Matthias Schweighöfer ,nan,nan
926,927,Need for Speed,132,2014,6.4,39,Scott Waugh ,nan,nan
927,928,Salt,100,2010,6.4,65,Phillip Noyce ,nan,nan
928,929,The Three Musketeers,105,1993,6.4,43,Stephen Herek ,nan,nan
929,930,Pain & Gain,129,2013,6.4,45,Michael Bay ,nan,nan
930,931,The Vault,118,2021,6.4,50,Jaume Balagueró ,nan,nan
931,932,Death Race,105,2008,6.4,43,Paul W.S. Anderson ,nan,nan
932,933,Now You See Me 2,129,2016,6.4,46,Jon M. Chu ,nan,nan
933,934,Hancock,92,2008,6.4,49,Peter Berg ,nan,nan
934,935,Revenge,108,2017,6.4,81,Coralie Fargeat ,nan,nan
935,936,Monsters vs,94,2009,6.4,56,Rob Letterman, Conrad Vernon ,nan
936,937,Tango & Cash,104,1989,6.4,41,Andrey Konchalovskiy, Albert Magnoli ,nan
937,938,Rat Race,112,2001,6.4,52,Jerry Zucker ,nan,nan
938,939,The Sum of All Fears,124,2002,6.4,45,Phil Alden Robinson ,nan,nan
939,940,Savages,131,2012,6.4,59,Oliver Stone ,nan,nan
940,941,Predators,107,2010,6.4,51,Nimród Antal ,nan,nan
941,942,Colombiana,108,2011,6.4,45,Olivier Megaton ,nan,nan
942,943,The Lone Ranger,150,2013,6.4,37,Gore Verbinski ,nan,nan
943,944,The World Is Not Enough,128,1999,6.4,57,Michael Apted ,nan,nan
944,945,Act of Valor,110,2012,6.4,40,Mike McCoy, Scott Waugh ,nan
945,946,Darkman,96,1990,6.4,65,Sam Raimi ,nan,nan
946,947,Faster,98,2010,6.4,44,George Tillman Jr. ,nan,nan
947,948,The Purge: Anarchy,103,2014,6.4,50,James DeMonaco ,nan,nan
948,949,Behind Enemy Lines,106,2001,6.4,49,John Moore ,nan,nan
949,950,DragonHeart,103,1996,6.4,49,Rob Cohen ,nan,nan
950,951,Kickboxer,97,1989,6.4,33,Mark DiSalle, David Worth ,nan
951,952,The Angry Birds Movie 2,97,2019,6.4,60,Thurop Van Orman, John Rice ,nan
952,953,The Taking of Pelham 123,106,2009,6.4,55,Tony Scott ,nan,nan
953,954,Star Trek: Nemesis,116,2002,6.4,51,Stuart Baird ,nan,nan
954,955,Killer Elite,116,2011,6.4,44,Gary McKendry ,nan,nan
955,956,The Jackal,124,1997,6.4,36,Michael Caton-Jones ,nan,nan
956,957,Let's Be Cops,104,2014,6.4,30,Luke Greenfield ,nan,nan
957,958,Star Trek: Insurrection,103,1998,6.4,64,Jonathan Frakes ,nan,nan
958,959,Snitch,112,2013,6.4,51,Ric Roman Waugh ,nan,nan
959,960,The Siege,116,1998,6.4,53,Edward Zwick ,nan,nan
960,961,Lock Up,109,1989,6.4,52,John Flynn ,nan,nan
961,962,Blood Father,88,2016,6.4,66,Jean-François Richet ,nan,nan
962,963,Daybreakers,98,2009,6.4,57,Michael Spierig, Peter Spierig ,nan
963,964,Kill List,95,2011,6.4,67,Ben Wheatley ,nan,nan
964,965,Live by Night,129,2016,6.4,49,Ben Affleck ,nan,nan
965,966,Shaft,111,2019,6.4,40,Tim Story ,nan,nan
966,967,Basic,98,2003,6.4,34,John McTiernan ,nan,nan
967,968,The Rover,103,2014,6.4,64,David Michôd ,nan,nan
968,969,Chaos,106,2005,6.4,Nan,Tony Giglio ,nan,nan
969,970,Contraband,109,2012,6.4,51,Baltasar Kormákur ,nan,nan
970,971,Batman: The Killing Joke,76,2016,6.4,Nan,Sam Liu ,nan,nan
971,972,The Omega Man,98,1971,6.4,56,Boris Sagal ,nan,nan
972,973,Here Comes the Boom,105,2012,6.4,40,Frank Coraci ,nan,nan
973,974,From Paris with Love,92,2010,6.4,42,Pierre Morel ,nan,nan
974,975,Final Fantasy: The Spirits Within,106,2001,6.4,49,Hironobu Sakaguchi, Motonori Sakakibara ,nan
975,976,Black Death,102,2010,6.4,71,Christopher Smith ,nan,nan
976,977,Just Cause,102,1995,6.4,48,Arne Glimcher ,nan,nan
977,978,How I Live Now,101,2013,6.4,57,Kevin Macdonald ,nan,nan
978,979,The Prophecy,98,1995,6.4,44,Gregory Widen ,nan,nan
979,980,Last Man Standing,101,1996,6.4,44,Walter Hill ,nan,nan
980,981,Dead Man Down,118,2013,6.4,39,Niels Arden Oplev ,nan,nan
981,982,Black and Blue,108,2019,6.4,54,Deon Taylor ,nan,nan
982,983,Blood Work,110,2002,6.4,64,Clint Eastwood ,nan,nan
983,984,Son of a Gun,108,2014,6.4,49,Julius Avery ,nan,nan
984,985,Night Watch,114,2004,6.4,58,Timur Bekmambetov ,nan,nan
985,986,Ned Kelly,110,2003,6.4,56,Gregor Jordan ,nan,nan
986,987,Resident Evil: Degeneration,98,2008,6.4,Nan,Makoto Kamiya ,nan,nan
987,988,Day Watch,132,2006,6.4,59,Timur Bekmambetov ,nan,nan
988,989,Redirected,99,2014,6.4,Nan,Emilis Velyvis ,nan,nan
989,990,Fast X,141,2023,6.3,55,Louis Leterrier ,nan,nan
990,991,Operation Fortune: Ruse de Guerre,114,2023,6.3,51,Guy Ritchie ,nan,nan
991,992,Black Adam,125,2022,6.3,41,Jaume Collet-Serra ,nan,nan
992,993,Uncharted,116,2022,6.3,45,Ruben Fleischer ,nan,nan
993,994,Eternals,156,2021,6.3,52,Chloé Zhao ,nan,nan
994,995,The King's Man,131,2021,6.3,44,Matthew Vaughn ,nan,nan
995,996,Dune,137,1984,6.3,41,David Lynch ,nan,nan
996,997,Terminator Genisys,126,2015,6.3,38,Alan Taylor ,nan,nan
997,998,Spider-Man 3,139,2007,6.3,59,Sam Raimi ,nan,nan
998,999,Godzilla vs,113,2021,6.3,59,Adam Wingard ,nan,nan
999,"1,000",Sky High,100,2005,6.3,62,Mike Mitchell ,nan,nan
1000,"1,001",Red Notice,118,2021,6.3,37,Rawson Marshall Thurber ,nan,nan
1001,"1,002",Knight and Day,109,2010,6.3,46,James Mangold ,nan,nan
1002,"1,003",Ocean's Eight,110,2018,6.3,61,Gary Ross ,nan,nan
1003,"1,004",Red Dawn,114,1984,6.3,53,John Milius ,nan,nan
1004,"1,005",King Arthur,126,2004,6.3,46,Antoine Fuqua ,nan,nan
1005,"1,006",The Last Stand,107,2013,6.3,54,Jee-woon Kim ,nan,nan
1006,"1,007",The Shallows,86,2016,6.3,59,Jaume Collet-Serra ,nan,nan
1007,"1,008",Run Hide Fight,109,2020,6.3,13,Kyle Rankin ,nan,nan
1008,"1,009",Tomb Raider,119,2018,6.3,48,Roar Uthaug ,nan,nan
1009,"1,010",Polar,118,2019,6.3,19,Jonas Åkerlund ,nan,nan
1010,"1,011",Ghost in the Shell,107,2017,6.3,52,Rupert Sanders ,nan,nan
1011,"1,012",Terminator 3: Rise of the Machines,109,2003,6.3,66,Jonathan Mostow ,nan,nan
1012,"1,013",Waterworld,177,1995,6.3,56,Kevin Reynolds ,nan,nan
1013,"1,014",The Bodyguard,129,1992,6.3,39,Mick Jackson ,nan,nan
1014,"1,015",Central Intelligence,107,2016,6.3,52,Rawson Marshall Thurber ,nan,nan
1015,"1,016",White House Down,131,2013,6.3,52,Roland Emmerich ,nan,nan
1016,"1,017",Every Which Way But Loose,114,1978,6.3,41,James Fargo ,nan,nan
1017,"1,018",Spectral,107,2016,6.3,Nan,Nic Mathieu ,nan,nan
1018,"1,019",Maze Runner: The Scorch Trials,131,2015,6.3,43,Wes Ball ,nan,nan
1019,"1,020",Miss Congeniality,109,2000,6.3,43,Donald Petrie ,nan,nan
1020,"1,021",A View to a Kill,131,1985,6.3,40,John Glen ,nan,nan
1021,"1,022",Bright,117,2017,6.3,29,David Ayer ,nan,nan
1022,"1,023",Unlocked,98,2017,6.3,46,Michael Apted ,nan,nan
1023,"1,024",The Angry Birds Movie,97,2016,6.3,43,Clay Kaytis, Fergal Reilly ,nan
1024,"1,025",Predator 2,108,1990,6.3,46,Stephen Hopkins ,nan,nan
1025,"1,026",Criminal,113,2016,6.3,36,Ariel Vromen ,nan,nan
1026,"1,027",My Spy,99,2020,6.3,46,Peter Segal ,nan,nan
1027,"1,028",The Collector,90,2009,6.3,29,Marcus Dunstan ,nan,nan
1028,"1,029",Transporter 2,87,2005,6.3,56,Louis Leterrier ,nan,nan
1029,"1,030",Scouts Guide to the Zombie Apocalypse,93,2015,6.3,32,Christopher Landon ,nan,nan
1030,"1,031",Guns Akimbo,98,2019,6.3,42,Jason Howden ,nan,nan
1031,"1,032",Once Upon a Time in Mexico,102,2003,6.3,56,Robert Rodriguez ,nan,nan
1032,"1,033",Beowulf,115,2007,6.3,59,Robert Zemeckis ,nan,nan
1033,"1,034",Sand Castle,113,2017,6.3,45,Fernando Coimbra ,nan,nan
1034,"1,035",Death Wish,107,2018,6.3,31,Eli Roth ,nan,nan
1035,"1,036",The Take,92,2016,6.3,48,James Watkins ,nan,nan
1036,"1,037",The Commuter,104,2018,6.3,56,Jaume Collet-Serra ,nan,nan
1037,"1,038",The Dead Pool,91,1988,6.3,46,Buddy Van Horn ,nan,nan
1038,"1,039",#Alive,98,2020,6.3,Nan,Il Cho ,nan,nan
1039,"1,040",The Black Cauldron,80,1985,6.3,59,Ted Berman, Richard Rich ,nan
1040,"1,041",Surrogates,89,2009,6.3,45,Jonathan Mostow ,nan,nan
1041,"1,042",Revolver,111,2005,6.3,25,Guy Ritchie ,nan,nan
