,Movie Name,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross Collection,Certification,votes
69,The General, Buster Keaton, Marion Mack, Glen Cavender, Jim Farley,Action, Adventure, Comedy,1.03,Passed ,"93,931"
70,Bajrangi Bhaijaan, Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor,Action, Adventure, Comedy,8.18,Not Rated ,"91,981"
71,Sholay, Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan,Action, Adventure, Comedy,Nan,Not Rated ,"57,094"
72,The Hidden Fortress, Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara,Action, Adventure, Drama,Nan,Not Rated ,"40,476"
73,White Heat, James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly,Action, Crime, Drama,Nan,Not Rated ,"34,297"
74,A Wednesday, Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual,Action, Crime, Drama,Nan,Not Rated ,"80,235"
75,Sarfarosh, Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi,Action, Drama, Thriller,Nan,Not Rated ,"26,234"
76,Major, Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar,Action, Biography, Drama,Nan,UA ,"30,496"
77,Hera Pheri, Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu,Action, Comedy, Crime,Nan,Not Rated ,"69,452"
78,Thuppakki, Joseph Vijay, Kajal Aggarwal, Vidyut Jammwal, Sathyan,Action, Thriller,Nan,Nan,Not Rated ,"35,925"
79,Kaththi, Joseph Vijay, Samantha Ruth Prabhu, Neil Nitin Mukesh, Tota Roy Chowdhury,Action, Drama,Nan,Nan,Not Rated ,"28,343"
80,John Wick: Chapter 4, Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick,Action, Crime, Thriller,Nan,R ,"191,793"
81,Guardians of the Galaxy, Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana,Action, Adventure, Comedy,333.18,PG-13 ,"1,219,833"
82,Dune, Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac,Action, Adventure, Drama,108.33,PG-13 ,"679,720"
83,Blade Runner 2049, Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista,Action, Drama, Mystery,92.05,R ,"604,508"
84,Deadpool, Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein,Action, Comedy,Nan,363.07,R ,"1,068,651"
85,The Avengers, Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner,Action, Sci-Fi,Nan,623.28,PG-13 ,"1,416,773"
86,The Incredibles, Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee,Animation, Action, Adventure,261.44,PG ,"762,204"
87,Casino Royale, Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright,Action, Adventure, Thriller,167.45,PG-13 ,"671,246"
88,The Revenant, Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson,Action, Adventure, Drama,183.64,R ,"828,318"
89,Akira, Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda,Animation, Action, Drama,0.55,R ,"193,806"
90,Kill Bill: Vol, Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah,Action, Crime, Thriller,66.21,R ,"774,353"
91,The Bourne Ultimatum, Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles,Action, Mystery, Thriller,227.47,PG-13 ,"644,325"
92,Ip Man, Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam,Action, Biography, Drama,Nan,R ,"228,513"
93,Infernal Affairs, Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang,Action, Crime, Drama,0.17,R ,"127,701"
94,Wolfwalkers, Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney,Animation, Action, Adventure,Nan,PG ,"35,205"
95,Baahubali: The Beginning, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,6.74,Not Rated ,"130,034"
96,Elite Squad, Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz,Action, Crime, Drama,0.01,R ,"106,770"
97,Sanjuro, Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô,Action, Drama, Thriller,Nan,Not Rated ,"39,458"
98,Haider, Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon,Action, Crime, Drama,0.90,Not Rated ,"56,106"
99,Elite Squad 2: The Enemy Within, Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz,Action, Crime, Drama,0.10,Not Rated ,"84,757"
100,Tae Guk Gi: The Brotherhood of War, Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong,Action, Drama, War,1.11,R ,"40,372"
101,Karthikeya 2, Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu,Action, Adventure, Fantasy,Nan,UA ,"63,245"
102,Andaz Apna Apna, Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor,Action, Comedy, Romance,Nan,Not Rated ,"54,217"
103,Arjun Reddy, Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana,Action, Drama, Romance,Nan,Not Rated ,"26,296"
104,The Breath, Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç,Action, Drama, Thriller,Nan,Nan,"34,399"
105,1: Nenokkadine, Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat,Action, Thriller,Nan,Nan,Not Rated ,"45,899"
106,Avatar, Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez,Action, Adventure, Fantasy,760.51,PG-13 ,"1,342,642"
107,Iron Man, Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges,Action, Adventure, Sci-Fi,318.41,PG-13 ,"1,083,119"
108,Zack Snyder's Justice League, Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams,Action, Adventure, Fantasy,Nan,R ,"413,089"
109,Thor: Ragnarok, Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo,Action, Adventure, Comedy,315.06,PG-13 ,"776,868"
110,Star Trek, Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy,Action, Adventure, Sci-Fi,257.73,PG-13 ,"610,490"
111,Edge of Tomorrow, Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson,Action, Adventure, Sci-Fi,100.21,PG-13 ,"699,643"
112,The Bourne Identity, Franka Potente, Matt Damon, Chris Cooper, Clive Owen,Action, Mystery, Thriller,121.66,PG-13 ,"559,032"
113,X-Men: Days of Future Past, Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy,Action, Adventure, Sci-Fi,233.92,PG-13 ,"725,327"
114,Children of Men, Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine,Action, Drama, Sci-Fi,35.55,R ,"511,857"
115,The Blues Brothers, John Belushi, Dan Aykroyd, Cab Calloway, John Candy,Action, Adventure, Comedy,57.23,R ,"205,980"
116,District 9, Sharlto Copley, David James, Jason Cope, Nathalie Boltt,Action, Sci-Fi, Thriller,115.65,R ,"695,271"
117,"Crouching Tiger, Hidden Dragon", Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen,Action, Adventure, Drama,128.08,PG-13 ,"275,738"
118,A Fistful of Dollars, Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy,Action, Drama, Western,14.50,R ,"223,540"
119,Ghost in the Shell, Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera,Animation, Action, Crime,0.52,TV-MA ,"148,593"
120,The Raid 2, Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara,Action, Crime, Thriller,2.63,R ,"127,189"
121,Hero, Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang,Action, Adventure, Drama,53.71,PG-13 ,"184,484"
122,The Wild Bunch, William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien,Action, Adventure, Drama,12.06,R ,"87,456"
123,Letters from Iwo Jima, Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase,Action, Adventure, Drama,13.76,R ,"166,330"
124,A Taxi Driver, Song Kang-ho, Thomas Kretschmann, Hae-Jin Yoo, Ryu Jun-Yeol,Action, Drama, History,1.53,Not Rated ,"27,453"
125,The Adventures of Robin Hood, Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains,Action, Adventure, Romance,3.98,PG ,"52,843"
126,Baby, Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu,Action, Crime, Thriller,Nan,Not Rated ,"58,830"
127,Airlift, Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi,Action, Drama, History,Nan,Not Rated ,"57,859"
128,Vishwaroopam, Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose,Action, Thriller,Nan,Nan,Not Rated ,"40,558"
129,Everything Everywhere All at Once, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan,Action, Adventure, Comedy,72.86,R ,"450,564"
130,The Batman, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell,Action, Crime, Drama,369.35,PG-13 ,"701,058"
131,The Gentlemen, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong,Action, Comedy, Crime,36.47,R ,"360,995"
132,All Quiet on the Western Front, Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus,Action, Drama, War,Nan,R ,"206,420"
133,RRR, N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt,Action, Drama,Nan,14.50,Not Rated ,"150,646"
134,Rogue One: A Star Wars Story, Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen,Action, Adventure, Sci-Fi,532.18,PG-13 ,"658,254"
135,Drive, Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks,Action, Drama,Nan,35.06,R ,"665,047"
136,Dunkirk, Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy,Action, Drama, History,188.37,PG-13 ,"682,881"
137,Apocalypto, Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood,Action, Adventure, Drama,50.87,R ,"320,281"
138,Star Wars: Episode VII - The Force Awakens, Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson,Action, Adventure, Sci-Fi,936.66,PG-13 ,"947,758"
139,Ghostbusters, Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,Action, Comedy, Fantasy,238.63,PG ,"425,971"
140,Captain America: Civil War, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,Action, Sci-Fi,Nan,408.08,PG-13 ,"812,355"
141,Predator, Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo,Action, Adventure, Horror,59.74,R ,"434,722"
142,Skyfall, Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench,Action, Adventure, Thriller,304.36,PG-13 ,"710,074"
143,Hot Fuzz, Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy,Action, Comedy, Mystery,23.64,R ,"517,380"
144,Taken, Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser,Action, Crime, Thriller,145.00,PG-13 ,"614,993"
145,Captain America: The Winter Soldier, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford,Action, Adventure, Sci-Fi,259.77,PG-13 ,"867,231"
